=== SPREAD MONITOR ===
Monitoring 1 pair(s)
Press Ctrl+C to stop

timestamp,pair,spread,hi_pool,tickA,tickB,ageA,ageB
# Fetching initial pool states...
2026-04-15T00:20:56.551Z,SOL/USDC,0.02640%,hi=ts=8,tickA=-24814,tickB=-24811,ageA=0.0s,ageB=117.3s
2026-04-15T00:20:56.553Z,SOL/USDC,0.02784%,hi=ts=8,tickA=-24814,tickB=-24811,ageA=0.0s,ageB=117.3s
2026-04-15T00:20:56.553Z,SOL/USDC,0.03772%,hi=ts=8,tickA=-24815,tickB=-24811,ageA=0.0s,ageB=117.3s
2026-04-15T00:21:00.774Z,SOL/USDC,0.03772%,hi=ts=8,tickA=-24815,tickB=-24811,ageA=0.0s,ageB=121.5s
2026-04-15T00:21:01.297Z,SOL/USDC,0.02205%,hi=ts=8,tickA=-24815,tickB=-24813,ageA=0.5s,ageB=0.0s
2026-04-15T00:21:02.583Z,SOL/USDC,0.02208%,hi=ts=8,tickA=-24815,tickB=-24813,ageA=0.0s,ageB=1.3s
2026-04-15T00:21:17.773Z,SOL/USDC,0.02205%,hi=ts=8,tickA=-24815,tickB=-24813,ageA=0.0s,ageB=16.5s
2026-04-15T00:21:26.600Z,SOL/USDC,0.02185%,hi=ts=8,tickA=-24815,tickB=-24813,ageA=0.0s,ageB=25.3s
2026-04-15T00:21:26.627Z,SOL/USDC,0.01962%,hi=ts=8,tickA=-24815,tickB=-24813,ageA=0.0s,ageB=25.3s
2026-04-15T00:21:26.644Z,SOL/USDC,0.01943%,hi=ts=8,tickA=-24815,tickB=-24813,ageA=0.0s,ageB=25.3s
2026-04-15T00:21:26.960Z,SOL/USDC,0.01592%,hi=ts=8,tickA=-24814,tickB=-24813,ageA=0.0s,ageB=25.7s
2026-04-15T00:21:27.449Z,SOL/USDC,0.01446%,hi=ts=8,tickA=-24814,tickB=-24813,ageA=0.0s,ageB=26.2s
2026-04-15T00:21:27.470Z,SOL/USDC,0.01267%,hi=ts=8,tickA=-24814,tickB=-24813,ageA=0.0s,ageB=26.2s
2026-04-15T00:21:27.856Z,SOL/USDC,0.01247%,hi=ts=8,tickA=-24814,tickB=-24813,ageA=0.0s,ageB=26.6s
2026-04-15T00:21:31.766Z,SOL/USDC,0.17816%,hi=ts=4,tickA=-24795,tickB=-24813,ageA=0.0s,ageB=30.5s
2026-04-15T00:21:31.867Z,SOL/USDC,0.18203%,hi=ts=4,tickA=-24794,tickB=-24813,ageA=0.0s,ageB=30.6s
2026-04-15T00:21:31.882Z,SOL/USDC,0.18227%,hi=ts=4,tickA=-24794,tickB=-24813,ageA=0.0s,ageB=30.6s
2026-04-15T00:21:32.071Z,SOL/USDC,0.18613%,hi=ts=4,tickA=-24794,tickB=-24813,ageA=0.0s,ageB=30.8s
2026-04-15T00:21:32.095Z,SOL/USDC,0.18527%,hi=ts=4,tickA=-24794,tickB=-24813,ageA=0.0s,ageB=30.8s
2026-04-15T00:21:32.189Z,SOL/USDC,0.18518%,hi=ts=4,tickA=-24794,tickB=-24813,ageA=0.0s,ageB=30.9s
2026-04-15T00:21:32.191Z,SOL/USDC,0.21305%,hi=ts=4,tickA=-24791,tickB=-24813,ageA=0.0s,ageB=30.9s
2026-04-15T00:21:32.191Z,SOL/USDC,0.21241%,hi=ts=4,tickA=-24791,tickB=-24813,ageA=0.0s,ageB=30.9s
2026-04-15T00:21:32.323Z,SOL/USDC,0.07850%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.1s,ageB=0.0s
2026-04-15T00:21:32.418Z,SOL/USDC,0.07850%,hi=ts=4,tickA=-24791,tickB=-24799,ageA=0.0s,ageB=0.1s
